IID	PGS000903	PGS000902	PGS004924	PGS000750	PGS003763	PGS000211	PGS000056	PGS000123	PGS001774	PGS000777	PGS001353
057634458500	-2.66443	0.329	0.329	-1.09068	-1.11503	-0.127298	1.87227	-0.221	0.30783	0.0	1.014
804790483400	-2.39183	0.5906	0.5906	-0.571576	-0.602136	-0.884301	2.04752	0.43	-0.122394	0.751416	0.599
809095838000	-3.52363	0.4833	0.4833	-0.486489	-0.441373	-0.505577	2.28528	0.581	0.515604	1.50283	1.398
685085868200	-1.68323	0.0482	0.0482	-0.848626	-0.82615	-0.833294	1.91418	0.164	-0.537182	0.0	0.699
227346605200	-2.84483	1.1658	1.1658	-0.537229	-0.530078	-0.468602	2.17514	0.686	-0.436432	0.0	0.914
455892408200	-4.63563	0.3175	0.3175	-0.73228	-0.800442	-0.965272	1.91303	-0.072	-0.669431	0.0	0.484
177150547200	-4.12273	1.3226	1.3226	-0.292454	-0.232696	0.109483	2.5472	1.044	0.0350125	0.751416	0.699
418816053700	-2.39593	0.3894	0.3894	-0.55993	-0.583538	0.14366	2.31686	0.355	0.32396	0.751416	1.206
488845108500	-2.86213	1.21	1.21	0.00780569	0.0470805	-0.116394	2.83845	0.906	0.254642	0.751416	0.676
420389173000	-3.86533	0.7592	0.7592	-0.763862	-0.76789	-0.793778	2.1341	0.255	-0.188131	0.751416	0.914
223140340000	-4.08893	0.5576	0.5576	-0.726766	-0.735051	-1.08361	1.93011	0.384	0.383356	0.751416	0.599
842316962200	-4.58273	0.7069	0.7069	-0.788171	-0.692025	-0.80448	1.83637	-0.427	-0.0916394	0.751416	0.507
884267504500	-4.63523	0.2826	0.2826	-0.595453	-0.603341	-1.0827	2.23149	0.632	-0.00906496	0.0	0.814
050931405000	-5.51193	0.8863	0.8863	-0.485337	-0.5038	-0.895333	2.13652	0.38	-0.0916394	0.0	0.407
580573850000	-0.544433	0.8122	0.8122	-0.245418	-0.231385	-0.58075	2.41747	0.359	0.160212	0.0	0.407
695271144900	-2.69621	-0.0827872	-0.0827872	-1.13009	-1.16345	-0.971786	1.8861	-0.13899	-0.411275	0.0	0.722
639989417100	-1.36461	0.788313	0.788313	-0.595935	-0.609584	-0.045697	2.08364	0.0490101	0.336538	0.751416	0.799
631972940500	-3.34811	0.574913	0.574913	-0.820541	-0.805151	-0.414164	2.17052	0.60001	-0.0916394	0.0	0.215
434220145500	-1.56241	0.208613	0.208613	-0.924419	-0.944445	-0.636348	1.66671	-0.25699	-0.502877	0.751416	0.507
624575192700	-3.71631	1.29101	1.29101	0.0391434	0.0600198	-0.344351	2.83799	1.42101	0.496685	0.0	0.814
001782851700	-0.801308	0.592913	0.592913	-0.868799	-0.846479	-0.49747	1.71447	0.24801	0.48409	0.0	1.206
695360015400	-3.90871	0.848113	0.848113	-0.69926	-0.734951	-0.713601	1.9965	0.56201	-0.0377731	0.751416	1.106
571837072000	-3.20651	0.762813	0.762813	-0.734635	-0.698173	-0.866285	1.97292	0.33701	0.558937	0.751416	0.914
581525716700	-1.95441	0.459313	0.459313	-0.400127	-0.385387	-0.876654	2.23982	0.44501	0.461738	0.751416	0.991
104507216100	-2.93691	0.421313	0.421313	-0.70294	-0.739416	-0.500442	2.00062	0.10601	0.046868	0.0	0.776
241694827600	-2.79841	0.402213	0.402213	-0.721571	-0.739864	-0.422743	2.22724	0.50401	0.0406091	0.0	0.914
729629902600	-4.05051	-0.372887	-0.372887	-1.36923	-1.41849	-0.798338	1.66401	-0.000989924	-0.0314326	1.50283	0.507
775266523400	-3.68571	0.610213	0.610213	-0.607271	-0.614558	-0.183726	2.45117	0.46101	1.05285	0.0	1.206
