IID	PGS004784	PGS002764	PGS004783	PGS002334	PGS002700	PGS002455	PGS002504	PGS000936	PGS002651	PGS002406	PGS002553	PGS002602
929512764900	0.673376	-0.213513	0.18546	-0.0305715	0.0561074	-45.5829	-172.416	0.66558	0.367041	-8.78731	0.533548	0.414208
911004922800	0.428933	-0.17503	0.0873193	0.0035891	0.0738774	-44.826	-175.29	1.26968	0.125721	-8.76201	1.04061	0.883919
900501422400	-0.0946934	-0.448892	-0.36907	-0.069746	-0.0181596	-41.6765	-165.325	0.213254	-0.0133105	-8.19378	0.152033	0.146543
869536460000	0.523332	-0.192214	-0.00637366	-0.0602858	0.0403424	-43.4781	-172.733	0.800826	0.0537174	-8.72593	0.222498	0.185553
847281269600	0.280464	-0.119301	0.0167044	-0.0382784	0.0262924	-45.5779	-175.109	0.891719	0.142809	-8.07144	0.322806	0.342725
793580741600	0.353893	-0.373663	0.0013191	-0.0261483	0.0293704	-43.8472	-172.264	1.15274	0.131893	-8.35847	0.891077	0.822681
786292356900	0.183044	-0.276465	0.00541151	-0.0471102	0.0345664	-46.7298	-178.707	0.729533	0.153381	-9.43164	0.613629	0.478758
746665517800	0.289593	-0.254916	-0.043686	-0.038324	0.0918994	-44.9494	-173.611	1.41158	0.161286	-9.10845	0.475024	0.321388
745830913300	1.09719	0.286758	0.554079	0.0637754	0.127116	-44.2769	-173.566	1.66133	0.266224	-7.845	0.92758	0.836752
738391853400	-0.0272242	-0.460925	-0.331098	-0.0924617	-0.0174356	-43.3808	-158.288	0.431918	0.00417142	-8.05916	0.211903	0.197505
992683200600	-0.00558672	-0.533788	-0.402127	-0.0495643	0.0161474	-43.9197	-167.377	0.292681	-0.0324894	-6.91065	0.432484	0.406033
718598321600	0.218205	0.0897092	-0.0428238	-0.0575309	-0.0150106	-44.478	-174.786	0.744159	0.147733	-8.25	0.864238	0.631044
702863005800	0.427732	-0.0280836	0.0923721	-0.0243489	0.0483444	-43.6715	-172.4	1.13227	0.129165	-8.6572	0.107178	0.114472
691740558100	0.592853	-0.157574	0.239517	0.0209709	0.116847	-45.4794	-169.603	1.2055	0.25937	-8.56048	0.486744	0.519687
729682550000	0.272967	-0.51714	-0.201387	-0.0601287	0.0437234	-44.4722	-173.196	0.934717	0.155811	-7.61028	0.149909	0.138749
515185656000	0.321017	-0.043899	0.000249358	-0.0322123	0.0523404	-46.2352	-171.836	1.27688	0.0935278	-9.35245	0.700133	0.661144
572218919600	0.827462	-0.273745	0.191504	0.01364	0.137731	-44.8989	-173.726	1.67439	0.39158	-7.71685	1.04832	0.93633
279169683100	0.041793	-0.523156	-0.39242	-0.0967492	-0.0102336	-43.4869	-167.149	0.270055	0.0716953	-9.68979	0.200004	0.138164
273850536200	0.17522	0.0954505	0.0116223	-0.0755258	0.0376894	-45.0234	-163.982	0.599977	0.113441	-8.19699	0.518866	0.522487
573280595700	0.205895	-0.495173	0.0051486	-0.042813	0.0332244	-44.0023	-171.886	0.644318	0.173129	-6.88361	0.721673	0.686888
241967798400	0.336515	0.185567	0.178307	-0.00153631	0.0807294	-42.1811	-168.695	0.987172	0.073036	-8.49086	-0.0877016	-0.116947
233105717400	0.300116	-0.359066	0.129386	-0.00773469	0.0930324	-42.6404	-165.683	1.51124	0.0910194	-9.01766	0.536175	0.568964
189195385000	0.419299	-0.073634	0.0772608	-0.0389289	0.0570424	-41.4755	-161.107	1.19841	0.0768264	-7.73798	0.780951	0.719713
169613726100	0.137043	-0.398271	-0.274436	-0.0672649	0.0202394	-42.9984	-158.37	0.679019	0.0156499	-8.11359	0.260999	0.225857
155523926500	0.571325	-0.134909	0.153475	-0.0449546	0.0540124	-44.8686	-177.558	1.61753	0.241072	-8.80485	0.53357	0.365486
153221440000	0.433471	-0.587738	-0.0633062	0.00359935	0.0894864	-45.155	-171.662	0.833247	0.100428	-9.45522	0.403654	0.425903
135671427500	0.532597	0.443583	0.20718	-0.00601025	0.0893624	-46.8912	-175.798	1.40422	0.180793	-8.91802	0.523139	0.471437
109483907600	0.636029	0.0816043	0.249066	-0.0258552	0.0659824	-45.1312	-164.579	1.33042	0.253484	-8.11055	0.317172	0.195208
