IID	PGS004490	PGS004495	PGS004560	PGS004565	PGS004809	PGS004810	PGS002768	PGS002095	PGS001274	PGS001273	PGS001883
VN_03_01_0403	0.0138804	0.102337	-0.00178714	0.00219235	0.0903963	0.200725	-0.967469	0.000804743	0.025347	-0.0588271	-0.183606
VN_03_01_0404	0.164097	0.240405	0.0120529	0.0191533	0.379117	0.3209	0.439965	0.00210295	0.196198	0.0857809	-0.0834525
VN_03_01_0410	-0.158189	-0.0142168	-0.00144935	0.0030918	0.1116	-0.140918	-1.00643	0.00174263	-0.00613459	0.0177263	0.0462925
VN_03_01_0416	0.153005	0.42193	0.0223206	0.0373446	0.231005	0.112942	-0.68816	0.00649317	0.144162	0.129257	-0.0650396
VN_03_01_0418	-0.0378104	0.000844889	-0.00144226	0.00171946	0.141243	0.156917	-1.09686	0.002632	0.401235	0.220631	-0.139926
VN_03_01_0421	-0.0491063	0.223312	-0.0134783	-0.00620063	0.109877	-0.0155317	-1.0016	0.00160872	-0.081457	0.0115648	-0.223594
VN_03_01_0422	0.0170657	0.2484	-0.00886591	-0.00413352	0.108607	-0.00584982	-1.11077	0.00396379	-0.0285646	-0.102733	0.0258176
VN_03_01_0424	0.303666	0.414358	0.00621951	0.0123995	0.133725	0.211993	-1.02761	0.00332501	-0.069308	0.0268967	-0.120252
VN_03_01_0428	0.00183955	0.0470844	-0.0196343	-0.0211726	0.174448	0.0117651	-0.784712	0.00123295	0.0907252	-0.0679924	-0.117817
VN_03_01_0429	0.0916135	0.252829	0.00395166	0.0114609	0.202486	-0.0377449	-0.902271	0.00707853	0.0568528	-0.0633316	-0.109223
VN_03_01_0430	-0.0145838	0.153875	-0.00674601	-0.00153745	0.182721	0.0559541	-0.917973	0.00296069	0.289858	0.110109	-0.12181
VN_03_01_0431	-0.115244	0.103106	-0.0126487	-0.00843894	0.109288	-0.11648	-0.982784	0.0026816	-0.11964	-0.0987339	-0.198873
VN_03_01_0432	0.0545918	0.18647	-0.00831538	-0.00394	0.259052	0.163615	-0.661419	0.00545774	0.0539793	0.0111161	-0.136277
VN_03_01_0434	0.0317989	0.115834	-0.00594305	-0.00242767	0.193358	0.0458052	-0.902841	0.00608263	0.398903	0.217232	-0.10128
VN_03_01_0439	0.263478	0.377321	0.0164061	0.0229905	0.309685	0.180136	-0.203554	0.00624402	0.133356	0.110503	-0.151187
VN_03_01_0440	-0.0663449	0.0522498	0.00320561	0.00811027	0.300817	0.165378	-0.513588	0.00333573	0.184855	0.263389	0.0779015
VN_03_01_0446	-0.324313	-0.402924	-0.0156054	-0.0196057	0.0720183	-0.0168683	-1.3306	0.000701639	-0.0530188	-0.0272651	-0.248784
VN_03_01_0448	-0.0566621	-0.02521	0.0119887	0.0181513	0.101185	-0.0497956	-0.957901	0.00141574	0.0166075	0.0484974	-0.0932769
VN_03_01_0449	0.0221699	0.173002	0.0146153	0.0243972	0.19519	0.255188	-0.819891	0.00396202	0.180068	0.121337	-0.00633107
VN_03_01_0450	-0.355002	-0.304233	-0.0158668	-0.0164362	0.138029	-0.110115	-1.18803	0.00439006	0.125147	0.162038	0.0134197
VN_03_01_0452	-0.0550521	-0.072819	0.00317434	0.00420385	0.131155	0.132567	-0.953492	0.00202932	0.0565241	0.0887132	-0.076706
VN_03_01_0453	0.0360961	0.0694202	0.00712853	0.0105467	0.232802	0.114045	-0.965063	0.00582537	0.110967	0.090988	-0.00780956
VN_03_01_0454	0.192992	0.388291	0.00351362	0.0114068	0.114858	-0.000346441	-1.14143	0.00352345	0.216616	0.0634732	-0.0110508
VN_03_01_0455	-0.0150644	0.0534051	-0.00964429	-0.00841025	0.096738	-0.0612467	-1.37715	0.00482621	0.262938	0.171276	0.0905251
